timesteps,average_episode_return
2.637500000000000000e+05,1.289631044983275210e+01
2.650000000000000000e+05,6.662010712242523169e+00
2.662500000000000000e+05,1.079291686992852739e+01
2.675000000000000000e+05,1.111363642716278655e+01
2.687500000000000000e+05,9.822428647157625647e+00
2.700000000000000000e+05,4.599074400437698884e+00
2.712500000000000000e+05,8.857190611458410245e+00
2.725000000000000000e+05,8.700441907772642480e+00
2.737500000000000000e+05,7.017633929962366679e+00
2.750000000000000000e+05,7.322248155605187492e+00
2.762500000000000000e+05,7.673967037361977717e+00
2.775000000000000000e+05,9.494056784783550640e+00
2.787500000000000000e+05,7.218748393189310164e+00
2.800000000000000000e+05,9.455172505774410041e+00
2.812500000000000000e+05,6.576035326396477032e+00
2.825000000000000000e+05,1.276145238713240992e+01
2.837500000000000000e+05,5.850832555765016707e+00
2.850000000000000000e+05,8.707681721485755588e+00
2.862500000000000000e+05,6.774627985603762781e+00
2.875000000000000000e+05,6.884067093920982927e+00
2.887500000000000000e+05,9.814431458292904864e+00
2.900000000000000000e+05,1.168493816151097597e+01
2.912500000000000000e+05,7.688245302581535157e+00
2.925000000000000000e+05,1.000347332763595887e+01
2.937500000000000000e+05,8.248935354498550865e+00
2.950000000000000000e+05,1.089446693448592107e+01
2.962500000000000000e+05,4.189457868107563598e+00
2.975000000000000000e+05,1.045358532564385179e+01
2.987500000000000000e+05,8.650494266622549944e+00
3.000000000000000000e+05,8.949883592696966872e+00
