timesteps,average_episode_return
7.000000000000000000e+04,5.414590193888005132e+01
7.125000000000000000e+04,5.829497262743750952e+01
7.250000000000000000e+04,5.835692849056651710e+01
7.375000000000000000e+04,5.577322535602365861e+01
7.500000000000000000e+04,0.000000000000000000e+00
7.625000000000000000e+04,4.584835177478337798e+00
7.750000000000000000e+04,6.389457574290654307e+00
7.875000000000000000e+04,7.094555473923337630e+00
8.000000000000000000e+04,1.204996544227955191e+01
8.125000000000000000e+04,1.169187296598514969e+01
8.250000000000000000e+04,1.473858031991404260e+01
8.375000000000000000e+04,1.563952790833703510e+01
8.500000000000000000e+04,2.118307779468413798e+01
8.625000000000000000e+04,2.080894035771743233e+01
8.750000000000000000e+04,2.223361101025059838e+01
8.875000000000000000e+04,2.512094808306282445e+01
9.000000000000000000e+04,3.021829111400220569e+01
9.125000000000000000e+04,2.873398243531655183e+01
9.250000000000000000e+04,2.486931279924314708e+01
9.375000000000000000e+04,2.919976054162508206e+01
9.500000000000000000e+04,3.056323160671746209e+01
9.625000000000000000e+04,3.030551469595482672e+01
9.750000000000000000e+04,3.053453387401402352e+01
9.875000000000000000e+04,3.685057060704277632e+01
1.000000000000000000e+05,3.588277115721474075e+01
1.012500000000000000e+05,3.707725050850937265e+01
1.025000000000000000e+05,3.677688270169173279e+01
1.037500000000000000e+05,3.847651867456609409e+01
1.050000000000000000e+05,3.851360396555728016e+01
1.062500000000000000e+05,3.854372827891917552e+01
1.075000000000000000e+05,3.844452888558522829e+01
1.087500000000000000e+05,3.744613623098617694e+01
1.100000000000000000e+05,3.853060426058128485e+01
1.112500000000000000e+05,4.040096088013345366e+01
1.125000000000000000e+05,3.919733171580861608e+01
1.137500000000000000e+05,4.213545826090901869e+01
1.150000000000000000e+05,4.008775876836310204e+01
1.162500000000000000e+05,4.386773518427643381e+01
1.175000000000000000e+05,3.989336750263080944e+01
1.187500000000000000e+05,4.370568988918866182e+01
1.200000000000000000e+05,4.595071304844133664e+01
1.212500000000000000e+05,4.545242000245620062e+01
1.225000000000000000e+05,4.298325480402162668e+01
1.237500000000000000e+05,4.695516018712010009e+01
1.250000000000000000e+05,4.466791324124355356e+01
1.262500000000000000e+05,4.557296573687256824e+01
1.275000000000000000e+05,4.499371201980250135e+01
1.287500000000000000e+05,4.183421194269728716e+01
1.300000000000000000e+05,4.666604892674166649e+01
1.312500000000000000e+05,4.659629944518668765e+01
1.325000000000000000e+05,4.743362631245950922e+01
1.337500000000000000e+05,4.414654711518632979e+01
1.350000000000000000e+05,4.787192625022557024e+01
1.362500000000000000e+05,4.513100963430232326e+01
1.375000000000000000e+05,4.422858699569157181e+01
1.387500000000000000e+05,4.465736073156133301e+01
1.400000000000000000e+05,4.725271125629476643e+01
1.412500000000000000e+05,4.615653103152203585e+01
1.425000000000000000e+05,5.016575308393839094e+01
1.437500000000000000e+05,4.879248491544577604e+01
1.450000000000000000e+05,4.959039038033355951e+01
1.462500000000000000e+05,4.706879794923263205e+01
1.475000000000000000e+05,4.533560928574402737e+01
1.487500000000000000e+05,4.437076275734517594e+01
1.500000000000000000e+05,0.000000000000000000e+00
1.512500000000000000e+05,5.667009517799058926e+00
1.525000000000000000e+05,8.560471447601011974e+00
1.537500000000000000e+05,5.502100420020720861e+00
1.550000000000000000e+05,1.194084483435181632e+01
1.562500000000000000e+05,1.523978295307538744e+01
1.575000000000000000e+05,1.414392744494980825e+01
1.587500000000000000e+05,1.829173603701027062e+01
1.600000000000000000e+05,1.883469311854197059e+01
1.612500000000000000e+05,2.248332400091679162e+01
1.625000000000000000e+05,2.435920680121898130e+01
1.637500000000000000e+05,2.497518446693138472e+01
1.650000000000000000e+05,2.696934536458071818e+01
1.662500000000000000e+05,2.730988987420557379e+01
1.675000000000000000e+05,3.027015669330376113e+01
1.687500000000000000e+05,2.492592953687693935e+01
1.700000000000000000e+05,3.351998554978439415e+01
1.712500000000000000e+05,3.578059965405169862e+01
1.725000000000000000e+05,3.213974483904782176e+01
1.737500000000000000e+05,3.539337994940222387e+01
1.750000000000000000e+05,3.789855053376693661e+01
1.762500000000000000e+05,3.619117998959432470e+01
1.775000000000000000e+05,3.705853878235448207e+01
1.787500000000000000e+05,3.907560023091456713e+01
1.800000000000000000e+05,4.140569066895820782e+01
1.812500000000000000e+05,3.784056231316070296e+01
1.825000000000000000e+05,4.170428771106546861e+01
1.837500000000000000e+05,4.289542006619484482e+01
1.850000000000000000e+05,3.964414129962430167e+01
1.862500000000000000e+05,4.319908447903043225e+01
1.875000000000000000e+05,4.627611221590000667e+01
1.887500000000000000e+05,4.382374674341153309e+01
1.900000000000000000e+05,4.393432887606331150e+01
1.912500000000000000e+05,4.751729515898091449e+01
1.925000000000000000e+05,4.384878637204456453e+01
1.937500000000000000e+05,4.502118567429108964e+01
1.950000000000000000e+05,4.833846176686856921e+01
1.962500000000000000e+05,4.947727072610647525e+01
1.975000000000000000e+05,4.407407869194918248e+01
1.987500000000000000e+05,4.608937440547702380e+01
2.000000000000000000e+05,4.767186454779166382e+01
2.012500000000000000e+05,4.946830249664496648e+01
2.025000000000000000e+05,4.803719761627206708e+01
2.037500000000000000e+05,4.610528595447146216e+01
2.050000000000000000e+05,4.905507186929818886e+01
2.062500000000000000e+05,4.314995135999346587e+01
2.075000000000000000e+05,4.803974404435649603e+01
