timesteps,average_episode_return
1.337500000000000000e+05,3.149356295064428224e+01
1.350000000000000000e+05,2.962220539133805630e+01
1.362500000000000000e+05,3.351580996742653440e+01
1.375000000000000000e+05,3.127322967547448940e+01
1.387500000000000000e+05,2.923965371102417521e+01
1.400000000000000000e+05,3.507516253454630117e+01
1.412500000000000000e+05,3.624582760571862394e+01
1.425000000000000000e+05,3.332081841495149632e+01
1.437500000000000000e+05,3.266899344881203859e+01
1.450000000000000000e+05,3.261971086077240045e+01
1.462500000000000000e+05,3.227996685602445837e+01
1.475000000000000000e+05,3.213064866629436267e+01
1.487500000000000000e+05,3.147468659354565190e+01
1.500000000000000000e+05,0.000000000000000000e+00
1.512500000000000000e+05,6.308585630765650709e-01
1.525000000000000000e+05,3.189815912037726964e+00
1.537500000000000000e+05,5.317864901211105000e+00
1.550000000000000000e+05,7.616874455673595889e+00
1.562500000000000000e+05,6.098009809909152423e+00
1.575000000000000000e+05,1.080054634855091322e+01
1.587500000000000000e+05,8.999257189959951830e+00
1.600000000000000000e+05,1.020901236754371766e+01
1.612500000000000000e+05,1.435460669022055669e+01
1.625000000000000000e+05,1.110823718197801568e+01
1.637500000000000000e+05,1.548676055818241082e+01
1.650000000000000000e+05,1.279687770536818014e+01
1.662500000000000000e+05,1.675598423714951934e+01
1.675000000000000000e+05,2.002515348484066493e+01
1.687500000000000000e+05,2.129486625756713991e+01
1.700000000000000000e+05,1.831289660509302308e+01
1.712500000000000000e+05,1.924654669518668726e+01
1.725000000000000000e+05,2.527638263106230099e+01
1.737500000000000000e+05,2.373688944816434798e+01
1.750000000000000000e+05,2.646514357394795169e+01
1.762500000000000000e+05,2.118762154578305612e+01
1.775000000000000000e+05,2.786115522970127500e+01
1.787500000000000000e+05,2.632447826229801535e+01
1.800000000000000000e+05,2.369401058387876446e+01
1.812500000000000000e+05,2.688811949923604416e+01
1.825000000000000000e+05,3.023725148576164656e+01
1.837500000000000000e+05,2.898784217281471243e+01
1.850000000000000000e+05,2.587042012299069782e+01
1.862500000000000000e+05,2.552933002163127796e+01
1.875000000000000000e+05,3.152395508584499595e+01
1.887500000000000000e+05,2.894902889758904152e+01
1.900000000000000000e+05,2.833437385402731579e+01
1.912500000000000000e+05,2.930946660990551322e+01
1.925000000000000000e+05,2.919948189258670723e+01
1.937500000000000000e+05,2.807853816138308645e+01
1.950000000000000000e+05,3.086815236853899336e+01
1.962500000000000000e+05,3.217506598933874784e+01
1.975000000000000000e+05,2.895564130461855967e+01
1.987500000000000000e+05,3.431312358242507798e+01
2.000000000000000000e+05,3.082450650703255590e+01
2.012500000000000000e+05,3.330666503820053492e+01
2.025000000000000000e+05,3.463605236780036734e+01
2.037500000000000000e+05,3.492831329809106933e+01
2.050000000000000000e+05,3.638504217565643728e+01
2.062500000000000000e+05,3.011898515111245800e+01
2.075000000000000000e+05,2.981385749610513614e+01
2.087500000000000000e+05,3.080547590567833893e+01
2.100000000000000000e+05,3.295923241511973600e+01
2.112500000000000000e+05,3.518803314229670320e+01
2.125000000000000000e+05,3.214630609109694603e+01
2.137500000000000000e+05,3.245551529277386749e+01
2.150000000000000000e+05,3.373866233100608270e+01
2.162500000000000000e+05,3.365496584696383309e+01
2.175000000000000000e+05,3.936102674347114316e+01
2.187500000000000000e+05,3.308241519129190067e+01
2.200000000000000000e+05,3.885989298733883857e+01
2.212500000000000000e+05,3.998188925050733644e+01
2.225000000000000000e+05,3.528363965378508738e+01
2.237500000000000000e+05,3.525064427182950055e+01
2.250000000000000000e+05,0.000000000000000000e+00
2.262500000000000000e+05,9.307240022187457384e-02
2.275000000000000000e+05,1.701544425261160676e+00
2.287500000000000000e+05,1.677709465262401167e+00
2.300000000000000000e+05,6.427596060427170244e+00
2.312500000000000000e+05,8.766085808582978700e+00
2.325000000000000000e+05,6.574127616941471963e+00
2.337500000000000000e+05,1.097967936456609372e+01
2.350000000000000000e+05,9.464055368766350895e+00
2.362500000000000000e+05,1.005960873299882863e+01
2.375000000000000000e+05,1.270181286599049386e+01
2.387500000000000000e+05,1.277057455702830957e+01
2.400000000000000000e+05,1.773428682505669940e+01
2.412500000000000000e+05,1.800621265347567856e+01
2.425000000000000000e+05,1.877849790147111975e+01
2.437500000000000000e+05,1.849961734861437535e+01
2.450000000000000000e+05,1.496896316951550432e+01
2.462500000000000000e+05,1.719117720638166347e+01
2.475000000000000000e+05,1.876416417562392525e+01
2.487500000000000000e+05,2.318448896027892658e+01
2.500000000000000000e+05,1.863045654876225043e+01
2.512500000000000000e+05,2.328070405013301070e+01
2.525000000000000000e+05,1.746881208400570884e+01
2.537500000000000000e+05,2.100326936289134494e+01
2.550000000000000000e+05,2.171102625252158802e+01
2.562500000000000000e+05,2.512649620130065742e+01
2.575000000000000000e+05,2.539695966549330564e+01
2.587500000000000000e+05,2.408010946927624829e+01
2.600000000000000000e+05,2.514649951176625464e+01
2.612500000000000000e+05,2.194590728503456134e+01
2.625000000000000000e+05,2.139831565650247569e+01
2.637500000000000000e+05,2.759606803598039448e+01
