timesteps,average_episode_return
1.712500000000000000e+05,3.008586164477827651e+01
1.725000000000000000e+05,3.512412665139746792e+01
1.737500000000000000e+05,3.304694700119033257e+01
1.750000000000000000e+05,3.480961935561539633e+01
1.762500000000000000e+05,3.250857970630453764e+01
1.775000000000000000e+05,3.553534249069607398e+01
1.787500000000000000e+05,3.803355520252188882e+01
1.800000000000000000e+05,3.467278363719756840e+01
1.812500000000000000e+05,3.498795547417265794e+01
1.825000000000000000e+05,3.399614132566238567e+01
1.837500000000000000e+05,3.492267116323482412e+01
1.850000000000000000e+05,4.079929611325427175e+01
1.862500000000000000e+05,3.562206426353554889e+01
1.875000000000000000e+05,3.855972101562855414e+01
1.887500000000000000e+05,4.056632854497190976e+01
1.900000000000000000e+05,3.989712026377693377e+01
1.912500000000000000e+05,4.042941410824461457e+01
1.925000000000000000e+05,4.016478800517118941e+01
1.937500000000000000e+05,4.244837581758701361e+01
1.950000000000000000e+05,3.840871704442441370e+01
1.962500000000000000e+05,4.057195190916864647e+01
1.975000000000000000e+05,4.140294520354999008e+01
1.987500000000000000e+05,3.836899779496876306e+01
2.000000000000000000e+05,4.066978176045838467e+01
2.012500000000000000e+05,4.184735189442456260e+01
2.025000000000000000e+05,4.510654307011272124e+01
2.037500000000000000e+05,4.143950249016579335e+01
2.050000000000000000e+05,4.486144449999056860e+01
2.062500000000000000e+05,4.162510979829077939e+01
2.075000000000000000e+05,4.605289435645950391e+01
2.087500000000000000e+05,4.244266012282257350e+01
2.100000000000000000e+05,4.518926639948843871e+01
2.112500000000000000e+05,4.869304351280135279e+01
2.125000000000000000e+05,4.529690010253872146e+01
2.137500000000000000e+05,4.623562063411222312e+01
2.150000000000000000e+05,4.178658013164078255e+01
2.162500000000000000e+05,4.480547115670491110e+01
2.175000000000000000e+05,4.516269710844905916e+01
2.187500000000000000e+05,4.356247223452444217e+01
2.200000000000000000e+05,4.444861993463582905e+01
2.212500000000000000e+05,4.201788396090439903e+01
2.225000000000000000e+05,4.318609878846560690e+01
2.237500000000000000e+05,4.183585460480707496e+01
2.250000000000000000e+05,0.000000000000000000e+00
2.262500000000000000e+05,3.675884275862348449e+00
2.275000000000000000e+05,3.088553775614316432e+00
2.287500000000000000e+05,7.205294478127882485e+00
2.300000000000000000e+05,1.192947968199068320e+01
2.312500000000000000e+05,1.241602059333984442e+01
2.325000000000000000e+05,1.106093257810382191e+01
2.337500000000000000e+05,1.338591795952648056e+01
2.350000000000000000e+05,1.423336454050635425e+01
2.362500000000000000e+05,1.688885687306667194e+01
2.375000000000000000e+05,2.136714006145948730e+01
2.387500000000000000e+05,2.253062915737365302e+01
2.400000000000000000e+05,1.991591756266253554e+01
2.412500000000000000e+05,1.955699745101807707e+01
2.425000000000000000e+05,2.503354949415325947e+01
2.437500000000000000e+05,2.005332418557466312e+01
2.450000000000000000e+05,2.621497955331120622e+01
2.462500000000000000e+05,2.199971799301324538e+01
2.475000000000000000e+05,2.774389304214673402e+01
2.487500000000000000e+05,2.822195266522106749e+01
2.500000000000000000e+05,2.784315940223070029e+01
2.512500000000000000e+05,2.734390617078321384e+01
2.525000000000000000e+05,3.104979261731735463e+01
2.537500000000000000e+05,3.154105270090383684e+01
2.550000000000000000e+05,3.163013177392016217e+01
2.562500000000000000e+05,3.620184468212757167e+01
2.575000000000000000e+05,3.209394723639424285e+01
2.587500000000000000e+05,3.210376258012770023e+01
2.600000000000000000e+05,3.614218409186511849e+01
2.612500000000000000e+05,3.959580689666090336e+01
2.625000000000000000e+05,3.337631022675857650e+01
2.637500000000000000e+05,3.459474763006166143e+01
2.650000000000000000e+05,3.449968137313944538e+01
2.662500000000000000e+05,3.624664687704268573e+01
2.675000000000000000e+05,3.753362668877284847e+01
2.687500000000000000e+05,3.511100244880444166e+01
2.700000000000000000e+05,3.630240922109028645e+01
2.712500000000000000e+05,3.532201614873012829e+01
2.725000000000000000e+05,3.768417723497758942e+01
2.737500000000000000e+05,3.709713598455407180e+01
2.750000000000000000e+05,3.855014341968268354e+01
2.762500000000000000e+05,3.764781085551742024e+01
2.775000000000000000e+05,3.857064496249191876e+01
2.787500000000000000e+05,3.552666623884101682e+01
2.800000000000000000e+05,3.758772582962138387e+01
2.812500000000000000e+05,3.814177829116339069e+01
2.825000000000000000e+05,3.940925774450776231e+01
2.837500000000000000e+05,3.731138970824262202e+01
2.850000000000000000e+05,3.843749955377352023e+01
2.862500000000000000e+05,4.130421359438173567e+01
2.875000000000000000e+05,4.047816912500351805e+01
2.887500000000000000e+05,3.865059039764157944e+01
2.900000000000000000e+05,3.991062189355876910e+01
2.912500000000000000e+05,3.946964202037066372e+01
2.925000000000000000e+05,4.060892494676382114e+01
2.937500000000000000e+05,3.977123987958689355e+01
2.950000000000000000e+05,3.869992934815717689e+01
2.962500000000000000e+05,4.069254451841561604e+01
2.975000000000000000e+05,3.782412026858730769e+01
2.987500000000000000e+05,4.185071690403081135e+01
3.000000000000000000e+05,4.250869915155082168e+01
