timesteps,average_return,std
2.164843750000000000e+05,9.170920872527116785e+01,8.592158955619552785e+01
2.178125000000000000e+05,1.222789449670282380e+02,1.036883802805715789e+02
2.191406250000000000e+05,1.578769735674259209e+02,1.030853905367998351e+02
2.204687500000000000e+05,2.286055486606183536e+02,9.859003667989676956e+01
2.217968750000000000e+05,2.990965219984994405e+02,9.812302723430795481e+01
2.231250000000000000e+05,3.096280270113826987e+02,1.113012368710029563e+02
2.244531250000000000e+05,3.332078939269172224e+02,1.027060861316113289e+02
2.257812500000000000e+05,3.753878058258557076e+02,1.078590366501681928e+02
2.271093750000000000e+05,3.757767083737878693e+02,1.074745234672157750e+02
2.284375000000000000e+05,3.455644395257500605e+02,1.148356307033125887e+02
2.297656250000000000e+05,3.389443624854566224e+02,1.059579327822710439e+02
2.310937500000000000e+05,3.139481856597346905e+02,1.139691086245631055e+02
2.324218750000000000e+05,3.458491093699309431e+02,9.784276455196074096e+01
2.337500000000000000e+05,3.596813508128910826e+02,1.140897383737305830e+02
2.350781250000000000e+05,3.741228316296466119e+02,1.048035291261421946e+02
2.364062500000000000e+05,3.878030818756318467e+02,9.837871404801234121e+01
2.377343750000000000e+05,4.035858960822038739e+02,9.583228281421563111e+01
2.390625000000000000e+05,4.108766181578937449e+02,1.072535223903987287e+02
2.403906250000000000e+05,4.289065482174974022e+02,1.060323689606680375e+02
2.417187500000000000e+05,4.203384759376652937e+02,9.590745361703210392e+01
2.430468750000000000e+05,4.302130063972299467e+02,9.622638204766172976e+01
2.443750000000000000e+05,4.247665295845327478e+02,1.018968527720523412e+02
2.457031250000000000e+05,3.884784258441062548e+02,7.849593082008088629e+01
2.470312500000000000e+05,3.980598696164835246e+02,8.228307332004928298e+01
2.483593750000000000e+05,3.945728158232780061e+02,6.372057128346605737e+01
2.496875000000000000e+05,3.873739235275800183e+02,5.792675274801231922e+01
2.510156250000000000e+05,3.680184670239219145e+02,6.191700876844257095e+01
2.523437500000000000e+05,3.501170049766628836e+02,5.983656178825676619e+01
