timesteps,average_return,std
3.200781250000000000e+05,8.218327507179985503e-01,1.017781946454976776e+02
3.214062500000000000e+05,1.109055059312811764e+01,1.041849880093037797e+02
3.227343750000000000e+05,0.000000000000000000e+00,1.215589422747835471e+02
3.240625000000000000e+05,3.283478108981007892e+00,1.229737466201501235e+02
3.253906250000000000e+05,3.316965516944580372e+01,1.354587294736784031e+02
3.267187500000000000e+05,7.255534090003388314e+01,1.368077189013192765e+02
3.280468750000000000e+05,1.023801640049237989e+02,1.423586431611105922e+02
3.293750000000000000e+05,5.225666534856782874e+01,1.406554845627930206e+02
3.307031250000000000e+05,6.129579755923241180e+01,1.413141508649266314e+02
3.320312500000000000e+05,8.641694222361027755e+01,1.568812863565821374e+02
3.333593750000000000e+05,1.023899214278168728e+02,1.665897351670299997e+02
3.346875000000000000e+05,1.333439190532896532e+02,1.585482503426859466e+02
3.360156250000000000e+05,1.510387772917163716e+02,1.660156881938160041e+02
3.373437500000000000e+05,2.119303915987565858e+02,1.626799232832245536e+02
3.386718750000000000e+05,2.646199785434861838e+02,1.744118790180569931e+02
3.400000000000000000e+05,3.154515365956350479e+02,1.714655235178649662e+02
3.413281250000000000e+05,3.081535800195478032e+02,1.775958233022918193e+02
3.426562500000000000e+05,3.523389399924321310e+02,1.720559394273718681e+02
3.439843750000000000e+05,3.588089016944299487e+02,1.708511997038427239e+02
3.453125000000000000e+05,3.841083500392202268e+02,1.631610202707239807e+02
3.466406250000000000e+05,3.097621323815882874e+02,1.653221588722716717e+02
3.479687500000000000e+05,2.614556555547831636e+02,1.651831439529373711e+02
3.492968750000000000e+05,2.099650799241536276e+02,1.491373311908891992e+02
3.506250000000000000e+05,2.281191973253393996e+02,1.698715638381474378e+02
3.519531250000000000e+05,2.080684010853068457e+02,1.571796491498829198e+02
3.532812500000000000e+05,1.969415771203390761e+02,1.537811869084564762e+02
3.546093750000000000e+05,1.743063737251665657e+02,1.468876539920111384e+02
3.559375000000000000e+05,2.126595709934387344e+02,1.478452990584259226e+02
3.572656250000000000e+05,2.424230075832240630e+02,1.438718939939840880e+02
3.585937500000000000e+05,2.880206274403985276e+02,1.461527257265121307e+02
3.599218750000000000e+05,2.981829804218628510e+02,1.396606001890282869e+02
3.612500000000000000e+05,2.934441329172466908e+02,1.316818182213107207e+02
3.625781250000000000e+05,2.992974285900180575e+02,1.467996599337569990e+02
3.639062500000000000e+05,2.828861898293595232e+02,1.436802028200283985e+02
3.652343750000000000e+05,2.922423534300027086e+02,1.253052186493569309e+02
3.665625000000000000e+05,2.998079060778133567e+02,1.255556612538496495e+02
3.678906250000000000e+05,2.760780540062426098e+02,1.424086812031606541e+02
3.692187500000000000e+05,3.115405621297147150e+02,1.223085771096328358e+02
3.705468750000000000e+05,3.375835200345817952e+02,1.219079946764786939e+02
3.718750000000000000e+05,3.104493067516523865e+02,1.394831651466470532e+02
3.732031250000000000e+05,3.396901126291814421e+02,1.255217174472582542e+02
3.745312500000000000e+05,3.708185373219916414e+02,1.343515974330692018e+02
3.758593750000000000e+05,4.061527647448844505e+02,1.204903827928671376e+02
3.771875000000000000e+05,4.170185996762830882e+02,1.259463827704293095e+02
3.785156250000000000e+05,3.957154937685679101e+02,1.387207826446814067e+02
3.798437500000000000e+05,3.828297333573886476e+02,1.211747678932158863e+02
3.811718750000000000e+05,4.363281597690285025e+02,1.381836406943064901e+02
3.825000000000000000e+05,4.604859728210063281e+02,1.444573275944772206e+02
3.838281250000000000e+05,4.582843502576156425e+02,1.418746095986283251e+02
3.851562500000000000e+05,4.593641834665723991e+02,1.547133868110684602e+02
3.864843750000000000e+05,4.854296530569940273e+02,1.624396520597566393e+02
3.878125000000000000e+05,5.282008814152679861e+02,1.497638194723628828e+02
3.891406250000000000e+05,5.532681701488742192e+02,1.599294444272882174e+02
3.904687500000000000e+05,5.806668687073981800e+02,1.616615254414963658e+02
3.917968750000000000e+05,5.818207311470092691e+02,1.621552140643160840e+02
3.931250000000000000e+05,5.731377599472258453e+02,1.863124062108227861e+02
3.944531250000000000e+05,6.040455681789696882e+02,1.665458052750468880e+02
3.957812500000000000e+05,6.084678111605837785e+02,1.878154332219921230e+02
3.971093750000000000e+05,5.962838492258363203e+02,1.831444023395702345e+02
3.984375000000000000e+05,6.088178225816805025e+02,1.858538129554171405e+02
