timesteps,average_return,std
2.257812500000000000e+05,1.745103005680272190e+02,1.047455730315198963e+02
2.271093750000000000e+05,1.659106875625693078e+02,1.068319235668524527e+02
2.284375000000000000e+05,1.726501575538198381e+02,1.097767590698845908e+02
2.297656250000000000e+05,1.857794098589052112e+02,1.040718022638696709e+02
2.310937500000000000e+05,1.776684802613632428e+02,1.204743152267757011e+02
2.324218750000000000e+05,1.676690851552499453e+02,1.149469779611273168e+02
2.337500000000000000e+05,1.712786023779065090e+02,1.011617483598853937e+02
2.350781250000000000e+05,2.294094379951490623e+02,1.136893602420111762e+02
2.364062500000000000e+05,2.605613798901600831e+02,1.154139941476833542e+02
2.377343750000000000e+05,3.011542709388670573e+02,1.186809398094339940e+02
2.390625000000000000e+05,3.140192890803316459e+02,1.040120355047738911e+02
2.403906250000000000e+05,3.636639972607950995e+02,1.095276238985795914e+02
2.417187500000000000e+05,4.151474273588536335e+02,1.002594524361734187e+02
2.430468750000000000e+05,4.295851576721398146e+02,1.078428941459878132e+02
2.443750000000000000e+05,4.056854572310630260e+02,9.931998088499197763e+01
2.457031250000000000e+05,4.114156413068692473e+02,1.029429824155955657e+02
2.470312500000000000e+05,4.194016327816643752e+02,9.063155371183694342e+01
2.483593750000000000e+05,4.288591517904752664e+02,1.067418918003067319e+02
2.496875000000000000e+05,4.315533444810412220e+02,1.002917015077566134e+02
2.510156250000000000e+05,4.410179321166169188e+02,9.888235891657335230e+01
2.523437500000000000e+05,4.805518600420846838e+02,9.281899080560360460e+01
2.536718750000000000e+05,5.042929609838346892e+02,1.008303802789178434e+02
2.550000000000000000e+05,5.078304315340848234e+02,9.076761458907826352e+01
2.563281250000000000e+05,5.464034907985753762e+02,9.083991565295701776e+01
2.576562500000000000e+05,5.434373396246776338e+02,8.930335642781098215e+01
2.589843750000000000e+05,5.570020118604097661e+02,8.976963720921860101e+01
2.603125000000000000e+05,5.854909539554703315e+02,8.934178825735597229e+01
2.616406250000000000e+05,5.977488212069993097e+02,9.583256334350058125e+01
2.629687500000000000e+05,5.816342579742830594e+02,8.711051239528070766e+01
2.642968750000000000e+05,6.348694927060973896e+02,7.679449313092793261e+01
2.656250000000000000e+05,6.091171190567151825e+02,8.845028364337633775e+01
2.669531250000000000e+05,6.514874391279890915e+02,7.391056700181222539e+01
2.682812500000000000e+05,6.552649481272503635e+02,8.775427033308308467e+01
2.696093750000000000e+05,6.336721821900652003e+02,8.290440141862103474e+01
2.709375000000000000e+05,6.098651116391379219e+02,9.579814316240093319e+01
2.722656250000000000e+05,6.639610431223730984e+02,8.556703420396993920e+01
2.735937500000000000e+05,6.359170524766900598e+02,9.429629860864790203e+01
2.749218750000000000e+05,6.358360014329371097e+02,9.292527207406278933e+01
2.762500000000000000e+05,6.572265148473225054e+02,9.343890959765573712e+01
2.775781250000000000e+05,6.876396554910722898e+02,9.889713427838510995e+01
2.789062500000000000e+05,7.096554229803072076e+02,8.584535005697134125e+01
2.802343750000000000e+05,7.307150839079702109e+02,9.537161119921441355e+01
2.815625000000000000e+05,7.110150702617994511e+02,1.112961981361693233e+02
2.828906250000000000e+05,7.018962651368392471e+02,1.152233589494671122e+02
2.842187500000000000e+05,7.438067581719883492e+02,1.070502959656446365e+02
2.855468750000000000e+05,7.335952039648851724e+02,9.949188558366225266e+01
2.868750000000000000e+05,6.939861525329652068e+02,1.087966925277702046e+02
2.882031250000000000e+05,7.177787158372403837e+02,1.193003465754549666e+02
2.895312500000000000e+05,7.130670878998812441e+02,1.174837694520456068e+02
2.908593750000000000e+05,7.513794988211756163e+02,1.245648869102360834e+02
2.921875000000000000e+05,7.784547615060298540e+02,1.314364848883961372e+02
2.935156250000000000e+05,7.788464736542817946e+02,1.103228925672554510e+02
2.948437500000000000e+05,7.920921519468266752e+02,1.320878574579577673e+02
2.961718750000000000e+05,8.326013574352905380e+02,1.279057450028595184e+02
2.975000000000000000e+05,8.298733753072079935e+02,1.294174254499293113e+02
2.988281250000000000e+05,8.629324642694720069e+02,1.337209317071986447e+02
3.001562500000000000e+05,8.406736980321045394e+02,1.378628356464541014e+02
3.014843750000000000e+05,8.500245906229692991e+02,1.333908078180431289e+02
3.028125000000000000e+05,8.557497858934075339e+02,1.256252982811538317e+02
3.041406250000000000e+05,8.618450730646334250e+02,1.309946421378062382e+02
3.054687500000000000e+05,8.575232079662322349e+02,1.332927519478421061e+02
3.067968750000000000e+05,8.420097227936298623e+02,1.171136816314053561e+02
