curve_name,timesteps,average_return,std
Lifelong METRA,268281.25,655.2649481272504,87.75427033308308
Lifelong METRA,269609.375,633.6721821900652,82.90440141862103
Lifelong METRA,270937.5,609.8651116391379,95.79814316240093
Lifelong METRA,272265.625,663.9610431223731,85.56703420396994
Lifelong METRA,273593.75,635.9170524766901,94.2962986086479
Lifelong METRA,274921.875,635.8360014329371,92.92527207406279
Lifelong METRA,276250.0,657.2265148473225,93.43890959765574
Lifelong METRA,277578.125,687.6396554910723,98.89713427838511
Lifelong METRA,278906.25,709.6554229803072,85.84535005697134
Lifelong METRA,280234.375,730.7150839079702,95.37161119921441
Lifelong METRA,281562.5,711.0150702617995,111.29619813616932
Lifelong METRA,282890.625,701.8962651368392,115.22335894946711
Lifelong METRA,284218.75,743.8067581719883,107.05029596564464
Lifelong METRA,285546.875,733.5952039648852,99.49188558366225
Lifelong METRA,286875.0,693.9861525329652,108.7966925277702
Lifelong METRA,288203.125,717.7787158372404,119.30034657545497
Lifelong METRA,289531.25,713.0670878998812,117.4837694520456
Lifelong METRA,290859.375,751.3794988211756,124.56488691023608
Lifelong METRA,292187.5,778.4547615060299,131.43648488839614
Lifelong METRA,293515.625,778.8464736542818,110.32289256725545
Lifelong METRA,294843.75,792.0921519468267,132.08785745795777
Lifelong METRA,296171.875,832.6013574352905,127.90574500285952
Lifelong METRA,297500.0,829.873375307208,129.4174254499293
Lifelong METRA,298828.125,862.932464269472,133.72093170719864
Lifelong METRA,300156.25,840.6736980321045,137.8628356464541
Lifelong METRA,301484.375,850.0245906229693,133.39080781804313
Lifelong METRA,302812.5,855.7497858934075,125.62529828115383
Lifelong METRA,304140.625,861.8450730646334,130.99464213780624
Lifelong METRA,305468.75,857.5232079662322,133.2927519478421
Lifelong METRA,306796.875,842.0097227936299,117.11368163140536
Lifelong METRA,308125.0,865.828227730457,129.58576210839942
Lifelong METRA,309453.125,872.9467988043723,124.84866963879962
Lifelong METRA,310781.25,889.2695609026313,114.95805044398261
Lifelong METRA,312109.375,873.0451562925599,122.18696375211954
Lifelong METRA,313437.5,837.0741204007243,125.72354436028965
Lifelong METRA,314765.625,833.7444095569233,116.3723667030001
Lifelong METRA,316093.75,821.8899822803256,121.48413044822622
Lifelong METRA,317421.875,782.9081159122418,102.62720466442984
Lifelong METRA,318750.0,0.0,62.7214071870763
Lifelong METRA,320078.125,0.0,69.55033438977432
Lifelong METRA,321406.25,0.0,74.09655688002097
Lifelong METRA,322734.375,47.81324105298629,89.80861577135967
Lifelong METRA,324062.5,71.21236949079285,80.29965356856444
Lifelong METRA,325390.625,120.9449252135725,83.30045277677381
Lifelong METRA,326718.75,130.3785663896149,101.74654537371113
Lifelong METRA,328046.875,138.44216682784912,91.19866075414038
Lifelong METRA,329375.0,135.84935212398435,95.51051139737176
Lifelong METRA,330703.125,132.0888669192415,97.83134429014655
Lifelong METRA,332031.25,156.3843830356335,106.4711909608977
Lifelong METRA,333359.375,183.02101400325535,106.91253548728227
Lifelong METRA,334687.5,206.83345365930907,106.47147863067525
Lifelong METRA,336015.625,243.90092673764082,109.75097868296648
Lifelong METRA,337343.75,264.99840409651017,102.33374486409002
Lifelong METRA,338671.875,302.6473050296716,111.05060053051248
Lifelong METRA,340000.0,309.91602669404716,110.9171679629216
Lifelong METRA,341328.125,297.17985445215686,122.13272290615924
Lifelong METRA,342656.25,281.37375733574595,101.6506785286796
Lifelong METRA,343984.375,280.36362637479584,122.33032156273407
Lifelong METRA,345312.5,296.5028810319457,115.18896737930686
Lifelong METRA,346640.625,296.0968403657064,96.82276884676035
Lifelong METRA,347968.75,317.13785523434046,109.47320451245024
Lifelong METRA,349296.875,344.4156862358939,108.5175388708875
Lifelong METRA,350625.0,386.12527973568785,109.47181230782402
Lifelong METRA,351953.125,415.8616528434566,103.60917609655995
Lifelong METRA,353281.25,429.5852774964518,96.98907598178735
