evaluation_checkpoint,kl_with_cbp,kl_without_cbp,recon_with_cbp,recon_without_cbp,jq_with_cbp,jq_without_cbp,total_context_loss_with_cbp,total_context_loss_without_cbp
23,0.35476143925126363,0.3826469672781137,0.1353120748955395,0.2628278968703244,0.442641,0.878274,0.9327145141468032,1.523748864148438
24,0.31702174707874464,0.3533907710754264,0.143127668253675,0.25353314082493184,0.494431,0.757247,0.9545804153324197,1.3641709119003582
25,0.31650498967229646,0.34513757306288895,0.14554957075147085,0.24099162435188823,0.42,0.64,0.8820545604237673,1.2261291974147772
26,0.31074918323491985,0.3192403388370505,0.12432378180276042,0.2548278363836027,0.394159,0.775352,0.8292319650376803,1.3494201752206532
27,0.2792696564226867,0.30661939259415893,0.1393377898187876,0.25572493080607595,0.333416,0.803573,0.7520234462414743,1.3659173234002349
28,0.28787667257040495,0.29318487666113213,0.12900862213914135,0.23543053165563319,0.395958,0.703731,0.8128432947095463,1.2323464083167655
29,0.3012669727729851,0.2870672256211594,0.12366670624642401,0.24243389652091518,0.345238,0.771502,0.7701716790194091,1.3000031221420746
30,0.25903709746743164,0.278446839892495,0.13427347387951538,0.24276594017642658,0.396177,0.694098,0.789487571346947,1.2153107800689216
31,0.27859087996033155,0.2746531450453936,0.12748195330817066,0.24739750641547925,0.378259,0.771496,0.7843318332685022,1.2935466514608728
32,0.289689653595142,0.2614127024854363,0.12453053565566366,0.23508050549965742,0.33922,0.706676,0.7534401892508057,1.2031692079850937
33,0.2534775979031586,0.29355773653912276,0.12116753379980713,0.26547747699502955,0.316911,0.742279,0.6915561317029657,1.3013142135341523
34,0.24885338992822725,0.2688379904479311,0.11802314785115171,0.24717535075771152,0.344097,0.679382,0.710973537779379,1.1953953412056427
35,0.2505856079814157,0.3025761314278633,0.11881529769695118,0.25117981825838914,0.284525,0.733643,0.6539259056783669,1.2873989496862523
36,0.24891652808842218,0.3067666854272955,0.11927146651915094,0.23594267886777587,0.257542,0.736973,0.6257299946075731,1.2796823642950714
37,0.24147470885295885,0.2728396832525921,0.12475848112470776,0.25608433317261914,0.293064,0.69488,0.6592971899776667,1.2238040164252112
38,0.21184039202171034,0.30315615269459095,0.11367649582486299,0.23465037440918926,0.221615,0.678473,0.5471318878465733,1.2162795271037803
39,0.21364536232022818,0.3242504242881198,0.11477768960242049,0.20663567237962488,0.269502,0.713085,0.5979250519226487,1.2439710966677446
40,0.21664367975785578,0.30615364553440355,0.10595404677483614,0.22897700848327263,0.252413,0.701002,0.5750107265326919,1.2361326540176762
41,0.2043174117891,0.2808611292295728,0.10955977808999333,0.2128577991146807,0.206293,0.63247,0.5201701898790934,1.1261889283442535
42,0.2148405889479284,0.26968348583322765,0.10210331526454657,0.19744230433714918,0.219053,0.72667,0.5359969042124749,1.1937957901703767
43,0.19097419606430735,0.2731075430594139,0.11015025114923836,0.20297786415423208,0.25195,0.651425,0.5530744472135457,1.127510407213646
44,0.1848472448036572,0.2635193504453445,0.09988193199988835,0.19091343240375555,0.194123,0.646839,0.47885217680354554,1.1012717828491001
